Filename,DateTime,Symbol,Name,TotalHolders,Rank,Address,Percentage,Insider,Bundler,IsPool
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,36,7JRAzPR9dW9QAo8KR7ViiTMi7GYQMedVLEh932pP1BJT,1.7592829277007,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,37,7yq5Dk4TKDLfjyovgcLYsqNcPgrg5SunZbGFvMeJnoNy,1.7476831839255,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,38,EjtQrPTbcMevStBkpnjsH23NfUCMhGHusTYsHuGVQZp2,1.731677440041,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,39,FKPzfMAuy1rbxPpgq8QrVQLzpPdLE8ahsNdxKWLDnZji,1.7158986949166999,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,40,FR8zkeLQd7q1C6xgyB3P3KPW81aPRos261f2NGVP4LFw,1.7051049053809002,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,41,G8CVFSPbzNC2FHg71QZ4e5oKbkHygWmVgbZ1Gh2j5QpC,1.6281548175123999,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,42,7yyvdyW1iYWDBTdNy2UQtJD1iPpjNfGXrG7evj4sKdw1,1.6078163148956,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,43,FyHjNhy5oL1Y3Cev8ZgkRq579xH5Yhf28neKqnxMBuam,1.5826599018496,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,44,2Pm3UELLbamw5GVLgk2k6kRNQCbmbr78StzURXRCG2H9,1.5815200362543,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,45,CwdtiwZCiReKxx4wZdbS1ACX1YVnESdoVZASe7SL3jsF,1.5619311366167,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,46,AnqaYG2S3aHRwvwbWfmJV5qjVCeWaRCA9hncPi9MvUoZ,1.5439958743127,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,47,eGNcwyMkHS7uLB7ZfMHVtZJ5XBDR7bsAgf7P6PkWm5D,1.5394048815111998,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,48,B4gufwyiziddbhauEGGTA3qi3AkfJwcyXEiMZorBQMgD,1.5154928625092001,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,49,7tvuE6B9F7MGzQkXdvjvU5npNL8hQJ4B6PYdWwuAKfbo,1.4787022280589999,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,50,1NdBBGnvynay43Vn6E2dHTU4fPTSFgQVSA3ydACmLpM,1.4721492930527,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,51,9hMLkWUzZRSDEa1kZnKBF4YaowfyPw3TqbCz4siRnPQd,1.4512972946644,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,52,3yfQG8GctysyQNY6XqsSp93bK8AMFzqFzDba3zrQZ8Ns,1.4436639021099,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,53,83cBVuAUhkPm5G9AU1mKQ1ryD9uCWTNXQuohZWuzSpZF,1.4402952409881,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,54,HjvZCijLs4pLc6sVnj3qz9pu72GXFWsmpyXt6GjBhiGM,1.4117332263938,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,55,2AcUBUKFGhVDsZ78iAiH2LJadMfRg4rVoaDyUDfyALoE,1.3577750943808,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,56,AbaLAFoLCUcG9Ag5xrGWkKPTrAKcsnwhCrCtuBmBVjah,1.3564840395620998,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,57,Hm74Xqg5DABSoE5dqA9AxhzAHYexneHzCsJ5emj6Jaey,1.3549615335265002,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,58,iNyUtaMtqWNyJcwy3CyENdou1YK7F7eGcXaqC7FioxQ,1.3015468808912,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,59,DT4krXsvRbJyWcEgofH4uYZNGYJSYygJGvKRMuHYSHXW,1.2578848681968,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,60,ALUA2Z4tgwwDu4ZxaguSCTP9vNsZBYp4KJBrgYiXqXYm,1.2493873956467,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,61,G3s7yFCpJRi3KwKuSiXGcTSn5ZR1P64pvLmrGFNfed3a,1.0648861130263,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,62,CFfpyQTr329vRjqsbcWjBSmbeYAtY9kkiF3Wz2SozSy3,0.7669279083593,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,63,C4JRuZx3nAFGqJ8ZcYuwWhRGxL4N9ZwpsErjfhGqxxAf,0.732982664371,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,64,1QsrKywXxBZMQjqEmRMssUd18WoZukaiM34V8DLGrHT,0.6773161852928,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,65,DdDLqEGjEzGRN5KsB7QnN6843XG5hhhDWXLDGEuBujo3,0.6594999500000001,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,66,8J5kSpB4XVxWEXJWGVJd8BqbJq47188LMYtYvo1B558o,0.6453707847032,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,67,4mQy3VByXEahvXJRLBkeJFZGY26fwJQL1hxLV4MSF4g2,0.6428093779185,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,68,LSdGjhwz87kwvUMcPfTbTRqeuU6kxp96eYWHMxc32QD,0.6356363110814,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,69,GZMwJAtV4q7Z5jxgCT7yNhivwbD5XXAcePC25BdRDSmt,0.6226643454483001,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,70,AsNpeUmoxJSQh6nu47VB91bqSf9oyVDnuAqX7kX51m4u,0.5933619404473,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,71,C526TXPF91LuAxTvD8mdGVQXniBzz9J3rmjTTF3zQk2w,0.5829461364506,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,72,51f8waezseJ5SC7SLu3i36VHreCCXWoY6tXuTnbhJTTi,0.5693224857626,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,73,FYdsGmWuxag1fPCxxdZ3Y3XiU3Lwt7RPzRSA8N3TFiPk,0.5617699738379,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,74,CJPNX4ykTZoPBsF8S3AVXfqsXcuXPi3GmR1u5qJM9wsk,0.5248671424101,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,75,5ecxH9qwq2vE13wT7Y4Cethe2Wv6tLNESMQLnTCeg5ky,0.5158268247649,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,76,3cDRJNVBa7TDgfN1SjnfezeyehNK4qKihw7mmFhSnjN6,0.4997485457509,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,77,56S29mZ3wqvw8hATuUUFqKhGcSGYFASRRFNT38W8q7G3,0.47257364974739996,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,78,Db487Wv8BgHSNdQH99ChDik93kfiesq4GFGFfez45f5e,0.4404468981725,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,79,EViJxi5fMEXDrB4HUnD6TEN4eUUroQSLwzgo3cWASuGU,0.43668859804950005,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,80,9Nrg9Dsf1q6J71AeivEQNUz3HrB5mHHxf84Uey7ahfB7,0.4020591401248,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,81,DDDD2zvzaPMLuZiC2Vos2i6TLFjJJ3bi1pN7kXQc3R5R,0.39604927661899997,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,82,5TzkDCkfdkRycQcUeoQvCEHbDkiMNL4CjXrCs14GoWhP,0.3938453852788,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,83,52LLFve694xCkVGYguXN9MnEJcbjdfJAzyYZc3cBm8p1,0.37553376119660004,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,84,951MSGv6AaUitNcp7esbvuyfDVZ5kYhy9xYE695nbZbU,0.3369321799796,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,85,6b6NzVZXuUQP5xeMwEatkvxbNekQuktgAjm4ogJgU3Z2,0.3250021,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,86,GzKheANDUTGuDKA1QHCrAH549Vc287zEfPJnaperpTXJ,0.3170966548689,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,87,3g95Vr9ZyskzcjoBzcjPNF3dbVDiEQZSFXvkA5HEEfUo,0.28304382637299996,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,88,HZDGnzjm1HYmAGB8zj2xNe3J3D85bfzpcQq12aUQ911M,0.2793522141071,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,89,HA7ZusAsqJLyRQLfWb3cmyTGAz7EyJyFCxZVB6wDLtB7,0.2350686421666,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,90,6YyBHV7xvfcSsCFrMSyExyDcGUyBhXYgP6vRtvSyNhoM,0.2316412497996,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,91,G36dHeRynXGnuZb8uWZepsxarKigt7FA5LJ5cmAYVCGK,0.2307141845327,False,False,False
